"ID","Day","FChe","FCheChi","FCheChiN","FChi","NoTouch","Others"
"T001","Day1",201,782,885,558,12650,450
"T001","Day2",136,319,521,408,15543,424
"T001","Day3",46,664,665,338,5447,150
"T001","Day4",58,373,496,296,4323,110
"T003","Day1",79,65,147,6,13487,12
"T003","Day2",3,2,20,0,1711,11
"T003","Day3",297,134,113,2,11531,50
"T003","Day4",255,254,116,11,12149,99
"T005","Day1",1083,2766,1777,348,18251,583
"T005","Day2",238,653,210,131,14652,427
"T005","Day3",204,2004,426,380,20614,457
"T005","Day4",427,937,128,185,11939,295
"T007","Day1",35,463,1811,255,11013,186
"T007","Day2",59,989,1319,462,10478,233
"T007","Day3",808,1393,156,68,10468,396
"T007","Day4",160,1428,520,606,10942,418
"T009","Day1",186,574,916,356,16269,699
"T009","Day2",69,181,418,180,18359,319
"T009","Day3",71,780,1541,413,11865,547
"T009","Day4",220,536,939,349,10945,929
"T011","Day1",295,521,968,217,12560,221
"T011","Day2",211,743,1735,198,16868,460
"T011","Day3",293,732,1143,812,16626,276
"T011","Day4",509,598,1228,413,17081,221
"T013","Day1",146,330,1301,1797,9123,1580
"T013","Day2",37,358,3323,1378,8146,2401
"T013","Day3",213,484,1572,1725,9210,1406
"T013","Day4",397,683,1697,431,9447,1248
"T015","Day1",102,662,761,652,11522,411
"T015","Day2",709,1151,350,558,9933,2117
"T015","Day3",310,728,732,657,11500,595
"T015","Day4",416,838,1284,551,10680,644
"T017","Day1",858,2522,1672,1406,13752,608
"T017","Day2",445,2210,3411,1662,13139,1271
"T017","Day3",342,1400,1285,717,15653,434
"T017","Day4",934,1909,1867,937,9528,415
"T019","Day1",1361,582,1579,1374,7083,1699
"T019","Day2",1192,579,1395,741,9419,1032
"T019","Day3",84,414,328,604,2306,394
"T019","Day4",166,249,319,151,8132,4113
